First Name,Last Name,Age,Rank,Classification,Date of Incident,Date of Death,Cause Of Death,Nature Of Death,Duty,Activity,Emergency,Property Type,
Robert,Watts,51,Firefighter,Volunteer,"Apr 18, 2011","Apr 18, 2011",Stress/Overexertion,Heart Attack,On-Scene Fire,Water Supply,Yes,Institutional,
Elias,Jaquez,49,Firefighter,Volunteer,"Apr 9, 2011","Apr 20, 2011",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Gregory,Harris,,Firefigher,Career,"Apr 13, 2011","Apr 22, 2011",Other,Other,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Michael,Webb,46,Captain,Volunteer,"Apr 26, 2011","Apr 27, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Outdoor Property,
Charles,Foster,59,Firefighter,Volunteer,"Apr 25, 2011","Apr 29, 2011",Stress/Overexertion,Heart Attack,On-Scene Emergency,Support,Yes,Street/Road,
Michael,Esposito,43,Ex-Captain,Volunteer,"May 18, 2011","May 18, 2011",Stress/Overexertion,Heart Attack,Response,Other,Yes,Residential,
Thomas,Lange,60,Firefighter,Career,"Feb 5, 1978","May 20, 2011",Exposure,Other,On-Scene Emergency,EMS/Patient Care,Yes,Residential,
David,Howell,,Firefighter,Volunteer,"May 22, 2011","May 22, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
Chip,Imker,35,Firefighter,Volunteer,"May 23, 2011","May 23, 2011",Fall,Trauma,Training,Other,No,Store/Office,
Robert,Tieche,,Fire Chief,Career,"May 28, 2011","May 28, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
Thomas,Shields,42,Second Assistant Fire Chief,Volunteer,"May 31, 2011","May 31, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Vincent,Perez,48,Lieutenant,Career,"Jun 2, 2011","Jun 2, 2011",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Anthony,Valerio,53,Firefighter/Paramedic,Career,"Jun 2, 2011","Jun 4, 2011",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Ronald,Ruprecht,51,Lieutenant,Volunteer,"Jun 10, 2011","Jun 11, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Garet,Rasmussen,38,Acting Battalion Chief,Career,"Jun 12, 2011","Jun 12, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Street/Road,
Scott,Davis,40,Firefighter,Career,"Jun 15, 2011","Jun 15, 2011",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Corey,Shaw,22,Firefighter,Paid-on-Call,"Jun 17, 2011","Jun 17, 2011",Collapse,Trauma,On-Scene Fire,Other,Yes,Store/Office,
Robin,West,55,Assistant Chief,Volunteer,"Jun 18, 2011","Jun 19, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Joshua,Burch,31,Forest Ranger,Career,"Jun 20, 2011","Jun 20, 2011",Trapped,Burns,On-Scene Fire,Other,Yes,Outdoor Property,
Brett,Fulton,52,Forest Ranger,Career,"Jun 20, 2011","Jun 20, 2011",Trapped,Burns,On-Scene Fire,Other,Yes,Outdoor Property,
Chris,Pham,35,Fire Rescue Officer,Career,"Jun 23, 2011","Jun 23, 2011",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Matthew,"Hadaller, III",47,Fire Chief,Career,"Jun 27, 2011","Jun 27, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Harold,Gibson,53,Firefighter III,Career,"Jun 19, 1993","Jul 2, 2011",Exposure,Other,On-Scene Emergency,EMS/Patient Care,Yes,Street/Road,
Caleb,Hamm,23,Firefighter,Wildland Part-Time,"Jul 7, 2011","Jul 7, 2011",Stress/Overexertion,Heat Exhaustion,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Charles,Sparks,49,Firefighter,Volunteer,"Jun 30, 2011","Jul 8, 2011",Stress/Overexertion,Heart Attack,On-Scene Fire,Salvage and Overhaul,Yes,Residential,
John,"Lackovic, Jr.",60,Fire Police Lieutenant,Volunteer,"Jul 11, 2011","Jul 11, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Street/Road,
Travis,Miller,31,Firefighter,Volunteer,"Jul 19, 2011","Jul 20, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Deon,Classay,42,Firefighter,Wildland Full-Time,"Jul 23, 2011","Jul 24, 2011",Other,Other,On-Scene Fire,Other,Yes,Outdoor Property,
Gaston,Gagne,46,Firefighter,Career,"Jul 25, 2011","Jul 25, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Jeffrey,Bowen,37,Captain,Career,"Jul 28, 2011","Jul 28, 2011",Smoke,Suffocation,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kyle,King,53,Captain,Career,"Jul 29, 2011","Jul 29, 2011",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Timothy,Oliveira,53,Lieutenant,Career,"Jul 29, 2011","Jul 31, 2011",Impact,Trauma,On-Duty,In-Station Duties,No,Store/Office,
Jeffery,Cocke,59,Firefighter,Volunteer,"Aug 1, 2011","Aug 4, 2011",Stress/Overexertion,Other,On-Duty,Other,No,Residential,
Timothy,White,50,Firefighter/EMT,Volunteer,"Jul 17, 2011","Aug 5, 2011",Stress/Overexertion,Heart Attack,Training,Search and Rescue,No,N/A,
Trampus,Haskvitz,23,Firefighter,Wildland Part-Time,"Aug 11, 2011","Aug 11, 2011",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Vacant Property,
Larry,Nelson,61,Lieutenant,Volunteer,"Aug 12, 2011","Aug 12, 2011",Fall,Trauma,On-Duty,Other,No,Store/Office,
Todd,Krodle,41,Lieutenant,Career,"Aug 14, 2011","Aug 14, 2011",Collapse,Suffocation,On-Scene Fire,Ventilation,Yes,Residential,
Dennis,Cauthen,54,Fire Chief,Volunteer,"Aug 16, 2011","Aug 16, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Stephen,Cox,55,Fire Marshal,Career,"Aug 26, 2011","Aug 28, 2011",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,,
Henry ,Branscum,32,Firefighter,Volunteer,"Sep 2, 2011","Sep 3, 2011",Stress/Overexertion,Heart Attack,On-Scene Fire,Salvage and Overhaul,Yes,,
Christopher,Peterson,22,Firefighter,Volunteer,"Sep 3, 2011","Sep 3, 2011",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Jacob,Waldner,20,Firefighter,Volunteer,"Sep 15, 2011","Sep 15, 2011",Fall,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
William,Waldner,22,Firefighter,Volunteer,"Sep 15, 2011","Sep 15, 2011",Fall,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Michael,Collins,41,Firefighter,Volunteer,"Sep 18, 2011","Sep 18, 2011",Impact,Trauma,On-Scene Emergency,Scene Safety,Yes,Street/Road,
George,Fisher III,57,Captain,Volunteer,"Sep 22, 2011","Sep 22, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
Keith,Rankin,38,Lieutenant,Volunteer,"Sep 25, 2011","Sep 25, 2011",Stress/Overexertion,Heart Attack,Training,Incident Command,No,Educational,
Vincent,Cruz,41,Lieutenant,Career,"Sep 29, 2011","Sep 29, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,N/A,
Andrew,Boyt,45,Lieutenant,Career,"Oct 3, 2011","Oct 3, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Street/Road,
Horace,Pendergrass,49,Firefighter,Career,"Oct 22, 2011","Oct 22, 2011",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Charolette,Adair,,Firefighter/EMT,Volunteer,"Oct 28, 2011","Oct 28, 2011",Impact,Trauma,On-Scene Emergency,Scene Safety,Yes,Street/Road,
Edward,Steffy,71,Fire Police Officer,Volunteer,"Nov 10, 2011","Nov 10, 2011",Stress/Overexertion,Heart Attack,On-Duty,Scene Safety,Yes,Street/Road,
Jonathan,Young,50,Fire Captain,Career,"Nov 16, 2011","Nov 16, 2011",Stress/Overexertion,Heart Attack,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Gregory,Baker,52,Fire Chief,Volunteer,"Nov 20, 2011","Nov 20, 2011",Stress/Overexertion,Heart Attack,On-Scene Fire,Water Supply,Yes,Store/Office,
Johnny,Norton,56,Firefighter,Volunteer,"Nov 21, 2011","Nov 24, 2011",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Outdoor Property,
Scott,Osenenko,45,Firefighter,Volunteer,"Dec 3, 2011","Dec 3, 2011",Stress/Overexertion,Heart Attack,On-Scene Fire,Support,Yes,Residential,
Freddy ,Childress,36,Firefighter,Volunteer,"Dec 4, 2011","Dec 4, 2011",Stress/Overexertion,Heart Attack,On-Duty,Not on Scene,No,,
Joseph,King,61,Firefighter,Volunteer,"Dec 4, 2011","Dec 4, 2011",Fall,Trauma,On-Scene Fire,Other,Yes,Outdoor Property,
Kevin,Townes Sr.,54,Firefighter,Career,"Dec 8, 2011","Dec 8, 2011",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Jon,Davies Sr.,43,Firefighter,Career,"Dec 8, 2011","Dec 8, 2011",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Residential,
James,Rice,42,Firefighter,Career,"Dec 23, 2011","Dec 23, 2011",Other,Other,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Leo,Crisanto,54,Inmate Firefighter,Wildland Full-Time,"Jan 4, 2012","Jan 4, 2012",Stress/Overexertion,Heart Attack,Training,Other,No,Outdoor Property,
William,Elliott,49,Firefighter,Career,"Jan 6, 2012","Jan 6, 2012",Fall,Trauma,Training,Other,No,,
Samuel,Butler,52,Fire Chief,Volunteer,"Jan 8, 2012","Jan 8, 2012",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
David,Crenshaw,63,Firefighter,Volunteer,"Jan 9, 2012","Jan 9, 2012",Stress/Overexertion,Heart Attack,On-Scene Emergency,Pump Operations,Yes,Street/Road,
Brandon,Little,19,Firefighter,Volunteer,"Jan 18, 2012","Jan 18, 2012",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Residential,
Duane,Ibarra,50,Firefighter III,Career,"Jan 18, 2012","Jan 18, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
Bruce,Turcotte,58,Firefighter,Volunteer,"Jan 19, 2012","Jan 19, 2012",Stress/Overexertion,Heart Attack,On-Scene Fire,Support,Yes,Residential,
Walter,Sumner,49,Captain,Volunteer,"Jan 21, 2012","Jan 24, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
Douglas,"Haase, Sr.",60,Senior Firefighter/Engineer/Paramedic,Career,"Feb 1, 2012","Feb 1, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
David,Flint,49,Fire Chief,Volunteer,"Feb 2, 2012","Feb 2, 2012",Vehicle Collision,Trauma,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
Zachary,Whitacre,21,Firefighter,Volunteer,"Feb 13, 2012","Feb 13, 2012",Vehicle Collision,Trauma,On-Scene Fire,Water Supply,Yes,Street/Road,
Jeremy,Tighe,18,Firefighter,Volunteer,"Feb 22, 2012","Feb 22, 2012",Vehicle Collision,Trauma,Return,Vehicle Passenger,Yes,Street/Road,
Charles,Waller,47,Firefighter/Fire Marshal,Career,"Feb 16, 2012","Feb 25, 2012",Stress/Overexertion,Stroke,On-Duty,In-Station Duties,No,,
Gerald ,Wetherell,74,Firefighter/EMT,Paid-on-Call,"Feb 28, 2012","Feb 28, 2012",Stress/Overexertion,Heart Attack,Response,Vehicle Passenger,Yes,Street/Road,
Mark,Ratledge,36,Fire Captain,Career,"Feb 29, 2012","Feb 29, 2012",Impact,Trauma,On-Scene Emergency,Other,Yes,Street/Road,
Mark,Morrison,53,Lieutenant,Career,"Mar 4, 2012","Mar 4, 2012",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Jamison,Kampmeyer,34,Lieutenant/EMT,Volunteer,"Mar 4, 2012","Mar 4, 2012",Collapse,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Nolan,Pittman,45,Fire Chief,Volunteer,"Mar 4, 2012","Mar 4, 2012",Stress/Overexertion,Heart Attack,On-Scene Fire,Incident Command,Yes,Residential,
Thomas,Dillion,49,Senior Captain,Career,"Mar 14, 2012","Mar 14, 2012",Other,Other,On-Scene Fire,Incident Command,Yes,Residential,
Jonathan,Myers,54,Firefighter,Career,"Mar 19, 2012","Mar 19, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
Donald,Jones,56,Captain,Career,"Mar 19, 2012","Mar 20, 2012",Vehicle Collision,Trauma,On-Scene Emergency,Incident Command,Yes,Street/Road,
Edward,Bernosky,79,Firefighter,Volunteer,"Mar 20, 2012","Mar 20, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
David,Bailey,50,Captain,Career,"Apr 3, 2012","Apr 3, 2012",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Outdoor Property,
John,Colbert,60,Captain,Volunteer,"Apr 6, 2012","Apr 6, 2012",Stress/Overexertion,Heart Attack,On-Duty,Support,Yes,,
Kevin,Johnson,50,Master Sergeant / Equipment Operator,Career,"Apr 6, 2012","Apr 6, 2012",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Kenny,Fox,39,Fire Chief,Volunteer,"Apr 7, 2012","Apr 7, 2012",Collapse,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Daniel,Sweeney,25,Firefighter,Career,"Apr 9, 2012","Apr 9, 2012",Collapse,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Robert,Neary,59,Lieutenant,Career,"Apr 9, 2012","Apr 9, 2012",Collapse,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
John,Winkelman,54,Fire Captain,Career,"Apr 12, 2012","Apr 12, 2012",Vehicle Collision,Trauma,On-Duty,Personal Vehicle Driver/Passenger,No,,
George,Sanford,67,First Lieutenant,Volunteer,"Apr 15, 2012","Apr 15, 2012",Stress/Overexertion,Heart Attack,Response,Other,Yes,,
Richard,Nappi,47,Lieutenant,Career,"Apr 16, 2012","Apr 16, 2012",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Adam,Longo,31,Firefighter,Career,"Apr 12, 2012","Apr 18, 2012",Stress/Overexertion,Stroke,Response,Vehicle Driver,Yes,Vacant Property,
Mark,"Shepard, Sr.",49,Firefighter,Volunteer,"Apr 20, 2012","Apr 20, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
David,"Wintz, Sr.",65,Fire Police Captain,Volunteer,"May 16, 2012","May 16, 2012",Stress/Overexertion,Heart Attack,On-Scene Fire,Scene Safety,Yes,Store/Office,
William,Danes,69,Firefighter,Volunteer,"May 17, 2012","May 17, 2012",Stress/Overexertion,Heart Attack,Training,Other,No,,
Todd,Tompkins,48,Captain,Wildland Contract,"Jun 3, 2012","Jun 3, 2012",Vehicle Collision,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Ronnie,Chambless,40,First Officer,Wildland Contract,"Jun 3, 2012","Jun 3, 2012",Vehicle Collision,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Anthony,Polk,31,Firefighter/Fuels Technician,Wildland Full-Time,"Jun 8, 2012","Jun 8, 2012",Vehicle Collision,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
Donald,Suggs,55,Assistant Chief,Volunteer,"Jun 10, 2012","Jun 11, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
George,Davis,62,Fire Chief,Volunteer,"Jun 22, 2012","Jun 23, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Ronald,Keddie,64,Firefighter,Volunteer,"Jun 27, 2012","Jun 27, 2012",Stress/Overexertion,Heart Attack,Response,Other,Yes,Street/Road,
Rocky,Dunkin,24,Firefighter,Volunteer,"Jul 1, 2012","Jul 1, 2012",Stress/Overexertion,Heart Attack,On-Scene Emergency,Extrication,Yes,Street/Road,
Robert,Cannon,50,Senior Master Sergeant/Flight Engineer,Career,"Jul 1, 2012","Jul 1, 2012",Vehicle Collision,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Paul,Mikeal,42,Lieutenant Colonel/Evaluator Pilot,Career,"Jul 1, 2012","Jul 1, 2012",Vehicle Collision,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Ryan,David,35,Major/Navigator,Career,"Jul 1, 2012","Jul 1, 2012",Vehicle Collision,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Joseph,McCormick,36,Major/Instructor Pilot,Career,"Jul 1, 2012","Jul 1, 2012",Vehicle Collision,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
John,"Echternach, Jr.",54,Lieutenant/EMT,Volunteer,"Jun 29, 2012","Jul 2, 2012",Impact,Trauma,Response,Other,Yes,Street/Road,
David,"Chew, Jr.",30,Lieutenant,Volunteer,"Jul 16, 2012","Jul 16, 2012",Vehicle Collision,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
Jon,Tibbetts,59,Fire Chief,Career,"Jul 23, 2012","Jul 23, 2012",Vehicle Collision,Trauma,On-Duty,Vehicle Driver,No,Street/Road,
Antonio,Rodriques,49,Firefighter,Career,"May 9, 2012","Jul 31, 2012",Stress/Overexertion,Stroke,Training,Unknown,No,,
Michael,Burgan,46,Captain,Volunteer,"Aug 10, 2012","Aug 10, 2012",Other,Suffocation,Training,Other,No,Outdoor Property,
Anne,Veseth,20,Firefighter,Wildland Part-Time,"Aug 12, 2012","Aug 12, 2012",Impact,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Jimmy,Randolph,44,Inmate Firefighter,Wildland Part-Time,"Aug 18, 2012","Aug 19, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Outdoor Property,
Roulos,Davis,49,Captain,Career,"Aug 20, 2012","Aug 20, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
Timothy,Lamere,47,Assistant Chief,Volunteer,"Aug 20, 2012","Aug 21, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Fidel,"Serrano, Jr.",40,Firefighter/Paramedic,Career,"Aug 24, 2012","Aug 26, 2012",Stress/Overexertion,Stroke,On-Duty,Not on Scene,No,,
Richard ,Schaefer,52,Fire Chief,Career,"Sep 2, 2012","Sep 2, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
Steven,"Henry, Sr.",53,Fire Police Captain,Volunteer,"Sep 6, 2012","Sep 7, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
Neal,Smith,46,Captain,Volunteer,"Sep 16, 2012","Sep 17, 2012",Stress/Overexertion,Heat Exhaustion,Training,Other,No,,
Christopher,Seelye,61,Firefighter,Wildland Contract,"Sep 17, 2012","Sep 17, 2012",Stress/Overexertion,Heart Attack,On-Scene Fire,Support,Yes,Outdoor Property,
Justin ,Townsend,17,Junior Firefighter,Volunteer,"Sep 27, 2012","Sep 27, 2012",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
John,Grabowski,49,Lieutenant,Part-Time (Paid),"Sep 30, 2012","Oct 1, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
Larry ,Nielsen,60,Fire Chief,Volunteer,"Oct 9, 2012","Oct 9, 2012",Stress/Overexertion,Heart Attack,Response,Vehicle Passenger,Yes,Street/Road,
Robert,Van Wormer,47,Battalion Chief,Career,"Oct 27, 2012","Oct 27, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
Donald,Felton,70,Fire Chief,Career,"Oct 27, 2012","Oct 27, 2012",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Russell,Neary,55,Lieutenant,Volunteer,"Oct 29, 2012","Oct 29, 2012",Impact,Trauma,On-Scene Emergency,Support,Yes,Street/Road,
Herbert ,Johnson,54,Captain,Career,"Nov 2, 2012","Nov 2, 2012",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
David ,Tatum,55,Lieutentant,Volunteer,"Nov 4, 2012","Nov 5, 2012",Other,Other,On-Scene Fire,Unknown,No,Street/Road,
John ,Hall,48,Deputy Fire Chief,Career,"Nov 3, 2012","Nov 7, 2012",Stress/Overexertion,Heart Attack,On-Scene Fire,Unknown,Yes,Residential,
Walter,Summerville III,55,Fire Chief,Career,"Nov 6, 2012","Nov 7, 2012",Stress/Overexertion,Heart Attack,On-Scene Emergency,Incident Command,Yes,,
Walter,"Patmon, Jr.",61,Firefighter,Career,"Nov 11, 2012","Nov 11, 2012",Stress/Overexertion,Heart Attack,Return,Other,No,Residential,
Mark ,Haudenschild II,26,Firefighter,Volunteer,"Nov 11, 2012","Nov 11, 2012",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Street/Road,
John ,Sayles,38,Captain,Volunteer,"Nov 14, 2012","Nov 14, 2012",Stress/Overexertion,Other,On-Duty,Other,No,Residential,
Christopher,Good,36,Captain ,Volunteer,"Nov 20, 2012","Nov 21, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Michael ,Martin,51,Firefighter,Industrial,"Nov 27, 2012","Nov 27, 2012",Stress/Overexertion,Heart Attack,Training,Search and Rescue,No,,
Timothy,Jansen,45,Firefighter,Volunteer,"Dec 2, 2012","Dec 2, 2012",Impact,Trauma,On-Scene Fire,Support,Yes,Residential,
Jalen ,Smith,20,Firefighter,Volunteer,"Nov 30, 2012","Dec 3, 2012",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Eddy ,Meador,54,Fire Chief,Volunteer,"Dec 8, 2012","Dec 8, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,Yes,N/A,
Steven ,Fritz,58,Fire Chief,Paid-on-Call,"Dec 10, 2012","Dec 10, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Jeffery ,Hudson,46,Private,Career,"Dec 12, 2012","Dec 12, 2012",Other,Other,On-Duty,Other,No,Residential,
Philip ,Mortensen,67,Fire Chief,Volunteer,"Dec 21, 2012","Dec 22, 2012",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
Michael,Chiapperini,43,Firefighter,Volunteer,"Dec 24, 2012","Dec 24, 2012",Impact,Violence,Response,Other,Yes,Street/Road,
Tomasz ,Kaczowka,19,Firefighter,Volunteer,"Dec 24, 2012","Dec 24, 2012",Impact,Violence,Response,Other,Yes,Street/Road,
Jonathan ,Burgess,33,Firefighter,Career,"Jan 8, 2013","Jan 8, 2013",Other,Other,On-Duty,Not on Scene,No,,
Matthew,Porcari,34,Captain,Volunteer,"Jan 21, 2013","Jan 22, 2013",Collapse,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Dale,Patterson,60,Captain/Chaplain,Volunteer,"Feb 14, 2013","Feb 14, 2013",Assault,Trauma,On-Duty,Not on Scene,No,Store/Office,
Eric,Wallace,36,Lieutenant,Career,"Feb 15, 2013","Feb 15, 2013",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,,
Gregory,Pickard,54,Lieutenant,Career,"Feb 15, 2013","Feb 16, 2013",Trapped,Burns,On-Scene Fire,Search and Rescue,Yes,Public Assembly,
David,Fox,49,Assistant Fire Chief,Part-Time (Paid),"Feb 14, 2013","Feb 20, 2013",Stress/Overexertion,Heart Attack,Training,Not on Scene,No,,
Claudia ,Sokol,55,Fire Police Officer,Volunteer,"Feb 21, 2013","Feb 22, 2013",Stress/Overexertion,Heart Attack,On-Scene Emergency,Scene Safety,Yes,,
David ,Schnepp,43,Firefighter,Volunteer,"Feb 24, 2013","Feb 24, 2013",Stress/Overexertion,Heart Attack,On-Duty,Not on Scene,No,,
Nathaniel,Fruin,22,Firefighter,Volunteer,"Feb 26, 2013","Feb 26, 2013",Stress/Overexertion,Heart Attack,Response,Vehicle Passenger,Yes,Store/Office,
Scott ,Morrison,44,Fire Chief,Volunteer,"Mar 3, 2013","Mar 3, 2013",Stress/Overexertion,Heart Attack,On-Scene Fire,Incident Command,Yes,Outdoor Property,
Christopher ,Brown,39,Firefighter,Volunteer,"Mar 5, 2013","Mar 5, 2013",Impact,Trauma,On-Scene Emergency,Scene Safety,Yes,Street/Road,
Donald ,Mize,62,Firefighter Cadet,Volunteer,"Mar 6, 2013","Mar 6, 2013",Other,Other,Training,Not on Scene,No,,
Lonnie,Nutt,49,Firefighter Engineer,Career,"Mar 7, 2013","Mar 7, 2013",Stress/Overexertion,Heart Attack,On-Scene Emergency,Extrication,Yes,Street/Road,
George ,"Turner, Jr.",60,Captain,Volunteer,"Mar 8, 2013","Mar 8, 2013",Stress/Overexertion,Heart Attack,Response,Emergency Response,Yes,Street/Road,
Michael  ,Broz,58,Firefighter,Volunteer,"Mar 10, 2013","Mar 10, 2013",Stress/Overexertion,Heart Attack,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Jeffrey,Scheuerer,35,Firefighter,Wildland Full-Time,"Mar 28, 2013","Mar 28, 2013",Impact,Trauma,On-Duty,,No,Street/Road,
John,Janos,57,Firefighter,Career,"Apr 6, 2013","Apr 6, 2013",Stress/Overexertion,Heart Attack,On-Duty,Not on Scene,No,,
Michael,"Goodwin, Sr.",53,Battalion Chief,Career,"Apr 6, 2013","Apr 6, 2013",Fall,Trauma,On-Scene Fire,Ventilation,Yes,Store/Office,
Harold,Hollingsworth,47,Assistant Chief,Career,"Apr 7, 2013","Apr 7, 2013",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
James ,Clark,56,Lieutenant,Career,"Apr 11, 2013","Apr 11, 2013",Stress/Overexertion,Heart Attack,On-Duty,Not on Scene,No,,
Lawrence ,Stone,37,Firefighter,Volunteer,"Apr 13, 2013","Apr 13, 2013",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Cody,Dragoo ,50,Captain,Volunteer,"Apr 17, 2013","Apr 17, 2013",Impact,Trauma,On-Scene Fire,Unknown,Yes,Manufacturing,
Morris ,"Bridges, Jr.",41,Firefighter,Volunteer,"Apr 17, 2013","Apr 17, 2013",Impact,Trauma,On-Scene Fire,Unknown,Yes,Manufacturing,
Joseph ,"Pustejovsky, Jr.",29,Firefighter,Volunteer,"Apr 17, 2013","Apr 17, 2013",Impact,Trauma,On-Scene Fire,Unknown,Yes,Manufacturing,
Douglas ,Snokhous,50,Firefighter,Volunteer,"Apr 17, 2013","Apr 17, 2013",Impact,Trauma,On-Scene Fire,Unknown,Yes,Manufacturing,
